epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,1809.34,0.64444,1.1569,0.40849,0.98203,0.99485,1,0.995,0.75644,0.99485,1,0.995,0.6279,1.01795,1.32161,0.39048,1.81879,0.000400977,0.000400977,0.000400977
111,1824.34,0.63751,1.1667,0.39953,0.98103,0.99493,1,0.995,0.74678,0.99493,1,0.995,0.63533,0.99268,1.26447,0.4149,1.77721,0.000391546,0.000391546,0.000391546
112,1837.3,0.6064,1.14029,0.38103,0.9652,0.99478,1,0.995,0.74131,0.99478,1,0.995,0.58392,1.08957,1.43067,0.44658,2.0121,0.000382115,0.000382115,0.000382115
113,1850.05,0.59785,1.14295,0.38287,0.97065,0.99469,1,0.995,0.73721,0.99469,1,0.995,0.61759,1.0094,1.26415,0.42957,1.93415,0.000372683,0.000372683,0.000372683
114,1862.99,0.59658,1.09042,0.38121,0.98141,1,1,0.995,0.75913,1,1,0.995,0.64138,1.00768,1.20584,0.39869,1.90311,0.000363252,0.000363252,0.000363252
115,1876.47,0.58636,1.0673,0.37082,0.97744,1,1,0.995,0.77389,1,1,0.995,0.62128,0.90918,1.35504,0.3518,1.73206,0.00035382,0.00035382,0.00035382
116,1890.01,0.61093,1.08053,0.37875,0.96206,1,1,0.995,0.74664,1,1,0.995,0.61504,0.94866,1.48959,0.41742,1.74908,0.000344389,0.000344389,0.000344389
117,1903.24,0.61657,1.12133,0.37654,0.96931,1,1,0.995,0.79396,1,1,0.995,0.66213,0.8454,1.30793,0.37576,1.67271,0.000334958,0.000334958,0.000334958
118,1916.06,0.58327,1.09397,0.36462,0.95026,1,1,0.995,0.80375,1,1,0.995,0.65723,0.90264,1.29297,0.38628,1.75982,0.000325526,0.000325526,0.000325526
119,1928.59,0.59923,1.11856,0.3692,0.96033,0.99499,1,0.995,0.76678,0.99499,1,0.995,0.6052,0.96185,1.42972,0.39527,1.87705,0.000316095,0.000316095,0.000316095
120,1941.24,0.60236,1.13345,0.37422,0.96451,0.99488,1,0.995,0.77453,0.99488,1,0.995,0.58996,0.93864,1.38419,0.37689,1.93877,0.000306663,0.000306663,0.000306663
121,1953.73,0.57194,1.05855,0.3555,0.94555,0.99476,1,0.995,0.78623,0.99476,1,0.995,0.54554,0.91514,1.43787,0.37996,1.90379,0.000297232,0.000297232,0.000297232
122,1969.38,0.55172,1.06228,0.35231,0.93881,1,1,0.995,0.75685,1,1,0.995,0.6012,1.05521,1.38506,0.4315,2.03879,0.000287801,0.000287801,0.000287801
123,1982.45,0.55206,1.00642,0.33708,0.93881,0.99473,1,0.995,0.73483,0.99473,1,0.995,0.63004,0.97673,1.34417,0.41929,1.95274,0.000278369,0.000278369,0.000278369
124,1995,0.55905,1.06119,0.35377,0.94881,0.99491,1,0.995,0.76963,0.99491,1,0.995,0.64164,0.88392,1.29597,0.39545,1.83588,0.000268938,0.000268938,0.000268938
125,2007.64,0.54208,1.04047,0.34894,0.9411,0.99481,1,0.995,0.76006,0.99481,1,0.995,0.63574,0.92629,1.25802,0.3899,2.07117,0.000259506,0.000259506,0.000259506
126,2020.28,0.55365,1.09117,0.3504,0.91488,0.99471,1,0.995,0.73982,0.99471,1,0.995,0.54768,1.00403,1.50857,0.38782,2.06638,0.000250075,0.000250075,0.000250075
127,2032.96,0.59489,1.09297,0.36707,0.96679,1,1,0.995,0.77324,1,1,0.995,0.57299,0.93306,1.46227,0.38324,1.78079,0.000240644,0.000240644,0.000240644
128,2045.6,0.5277,1.05622,0.33369,0.92139,0.9949,1,0.995,0.80623,0.9949,1,0.995,0.63059,0.83297,1.37745,0.36632,1.77494,0.000231212,0.000231212,0.000231212
129,2059.44,0.57327,1.02588,0.34667,0.94915,0.99484,1,0.995,0.8015,0.99484,1,0.995,0.66663,0.8468,1.34194,0.38081,1.83255,0.000221781,0.000221781,0.000221781
130,2073.25,0.52076,1.0055,0.33915,0.92134,0.99481,1,0.995,0.79062,0.99481,1,0.995,0.67583,0.9636,1.36883,0.42229,1.8489,0.000212349,0.000212349,0.000212349
131,2086.16,0.55382,1.03585,0.34894,0.92902,0.99487,1,0.995,0.81808,0.99487,1,0.995,0.64958,0.89077,1.37573,0.35844,1.82927,0.000202918,0.000202918,0.000202918
132,2098.73,0.54079,1.00248,0.34167,0.92631,0.99482,1,0.995,0.79048,0.99482,1,0.995,0.68185,0.9226,1.33461,0.36911,1.85783,0.000193487,0.000193487,0.000193487
133,2111.26,0.54318,1.01545,0.3432,0.92722,0.99491,1,0.995,0.75446,0.99491,1,0.995,0.64916,0.98475,1.32794,0.37919,1.88298,0.000184055,0.000184055,0.000184055
134,2123.91,0.54657,0.97042,0.34073,0.94742,0.99482,1,0.995,0.75141,0.99482,1,0.995,0.63229,0.99525,1.4309,0.39395,1.81599,0.000174624,0.000174624,0.000174624
135,2136.47,0.51142,0.96187,0.33022,0.92771,0.99487,1,0.995,0.74642,0.99487,1,0.995,0.59649,0.97544,1.40317,0.39079,1.788,0.000165192,0.000165192,0.000165192
136,2148.98,0.53161,0.96874,0.33246,0.91747,0.995,1,0.995,0.77721,0.995,1,0.995,0.62904,0.91625,1.30068,0.39375,1.79067,0.000155761,0.000155761,0.000155761
